Temp: 10000.00, Best Cost: 19385791.0272, Round Elapsed time: 3.89 s, probability_avg : 0.38
Temp: 9241.73, Best Cost: 16381518.8954, Round Elapsed time: 4.02 s, probability_avg : 0.34
Temp: 8540.96, Best Cost: 14306092.1344, Round Elapsed time: 4.00 s, probability_avg : 0.30
Temp: 7893.33, Best Cost: 10930570.7940, Round Elapsed time: 3.96 s, probability_avg : 0.32
Temp: 7294.81, Best Cost: 9659030.2599, Round Elapsed time: 4.02 s, probability_avg : 0.44
Temp: 6741.66, Best Cost: 8692476.4180, Round Elapsed time: 4.23 s, probability_avg : 0.39
Temp: 6230.47, Best Cost: 8284323.5336, Round Elapsed time: 4.28 s, probability_avg : 0.37
Temp: 5758.03, Best Cost: 7904893.0950, Round Elapsed time: 4.25 s, probability_avg : 0.34
Temp: 5321.42, Best Cost: 7748595.0000, Round Elapsed time: 4.24 s, probability_avg : 0.36
Temp: 4917.91, Best Cost: 7495763.8288, Round Elapsed time: 4.32 s, probability_avg : 0.34
Temp: 4545.00, Best Cost: 7322372.2432, Round Elapsed time: 4.72 s, probability_avg : 0.31
Temp: 4200.37, Best Cost: 7137504.4152, Round Elapsed time: 0.57 s, probability_avg : 0.32
Temp: 3881.87, Best Cost: 7042143.8688, Round Elapsed time: 4.40 s, probability_avg : 0.29
Temp: 3587.52, Best Cost: 6973522.8235, Round Elapsed time: 4.01 s, probability_avg : 0.30
Temp: 3315.49, Best Cost: 6829850.4773, Round Elapsed time: 3.87 s, probability_avg : 0.30
Temp: 3064.09, Best Cost: 6741294.8796, Round Elapsed time: 4.10 s, probability_avg : 0.29
Temp: 2831.75, Best Cost: 6570827.4820, Round Elapsed time: 4.16 s, probability_avg : 0.28
Temp: 2617.03, Best Cost: 6423918.8895, Round Elapsed time: 4.44 s, probability_avg : 0.27
Temp: 2418.59, Best Cost: 6325672.0824, Round Elapsed time: 4.50 s, probability_avg : 0.25
Temp: 2235.19, Best Cost: 6183954.2500, Round Elapsed time: 4.61 s, probability_avg : 0.27
Temp: 2065.71, Best Cost: 6048804.3699, Round Elapsed time: 4.66 s, probability_avg : 0.26
Temp: 1909.07, Best Cost: 5868530.0352, Round Elapsed time: 4.69 s, probability_avg : 0.26
Temp: 1764.31, Best Cost: 5732010.8096, Round Elapsed time: 4.71 s, probability_avg : 0.24
Temp: 1630.53, Best Cost: 5678424.3676, Round Elapsed time: 4.75 s, probability_avg : 0.22
Temp: 1506.89, Best Cost: 5550726.3305, Round Elapsed time: 4.74 s, probability_avg : 0.23
Temp: 1392.63, Best Cost: 5444668.0451, Round Elapsed time: 4.72 s, probability_avg : 0.24
Temp: 1287.03, Best Cost: 5343321.3834, Round Elapsed time: 2.44 s, probability_avg : 0.23
Temp: 1189.44, Best Cost: 5260949.3412, Round Elapsed time: 4.36 s, probability_avg : 0.22
